date,updateDate,code1,code2,code3,value,source
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AH/IRR,39500.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AH/NIRR,20700.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AP/IRR,40000.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AP/NIRR,21800.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,YLD,77.1,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,YLD/IRR,101.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,YLD/NIRR,31.5,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,PRD/IRR,113000.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,PRD/NIRR,62000.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AH/IRR,1700.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AH/NIRR,2300.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AP/IRR,1700.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AP/NIRR,2400.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,YLD/IRR,66.5,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,YLD/NIRR,27.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,PRD,460000.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,PRD/IRR,230000.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,PRD/NIRR,230000.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AH/IRR,4700.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AH/NIRR,13800.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AP/IRR,5000.0,S1
2010-01-01,2010-12-31 00:00:00,shACo,W/WIN,YLD,44.3,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AP/NIRR,14800.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,YLD/IRR,48.9,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,YLD/NIRR,16.7,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,PRD/IRR,2721000.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,PRD/NIRR,220000.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AH,37300.0,S1
2010-01-01,2010-12-31 00:00:00,shACo,W/WIN,PRD,8912000.0,S1
2010-01-01,2010-12-31 00:00:00,shACo,W/WIN,AH,190700.0,S1
2010-01-01,2010-12-31 00:00:00,shACo,W/WIN,AP,191000.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AH/IRR,27900.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AH/NIRR,9400.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AP/IRR,28300.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AP/NIRR,10000.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,YLD/IRR,97.5,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,YLD/NIRR,23.4,S1
2010-01-01,2010-12-31 00:00:00,shAOh,W/WIN,YLD,60.5,S1
2010-01-01,2010-12-31 00:00:00,shACo,W/WIN,PRD,7635000.0,S1
2010-01-01,2010-12-31 00:00:00,shACo,SG,AP,34700.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,PRD/IRR,2730000.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,PRD/NIRR,394000.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AH/IRR,32500.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AH/NIRR,8400.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AP,41700.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AP/IRR,33000.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AP/NIRR,8700.0,S1
